Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.	3266	8	C5	80	III	3
КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.	3267	8	C7	88	I	1
КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.	3267	8	C7	80	II	2
КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.	3267	8	C7	80	III	3
УСТРОЙСТВА БЕЗОПАСНОСТИ с электрическим инициированием	3268	9	M5			4
СМОЛ ПОЛИЭФИРНЫХ КОМПЛЕКТ	3269	3	F3		II	2
СМОЛ ПОЛИЭФИРНЫХ КОМПЛЕКТ	3269	3	F3		III	3
ФИЛЬТРЫ НИТРОЦЕЛЛЮЛОЗНЫЕ МЕМБРАННЫЕ, содержащие не более 12,6% азота по массе сухого вещества	3270	4.1	F1		II	2
ЭФИРЫ, Н.У.К.	3271	3	F1	33	II	2
ЭФИРЫ, Н.У.К.	3271	3	F1	30	III	3
ЭФИРЫ СЛОЖНЫЕ, Н.У.К.	3272	3	F1	33	II	2
ЭФИРЫ СЛОЖНЫЕ, Н.У.К.	3272	3	F1	30	III	3
НИТРИЛЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ ТОКСИЧНЫЕ, Н.У.К.	3273	3	FT1	336	I	1
НИТРИЛЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ ТОКСИЧНЫЕ, Н.У.К.	3273	3	FT1	336	II	2
АЛКОГОЛЯТОВ РАСТВОР, Н.У.К., в спирте	3274	3	FC	338	II	2
НИТРИЛЫ ТОКСИЧНЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	3275	6.1	TF1	663	I	1
НИТРИЛЫ ТОКСИЧНЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	3275	6.1	TF1	63	II	2
НИТРИЛЫ ЖИДКИЕ ТОКСИЧНЫЕ, Н.У.К.	3276	6.1	T1	66	I	1
НИТРИЛЫ ЖИДКИЕ ТОКСИЧНЫЕ, Н.У.К.	3276	6.1	T1	60	II	2
НИТРИЛЫ ЖИДКИЕ ТОКСИЧНЫЕ, Н.У.К.	3276	6.1	T1	60	III	2
ХЛОРФОРМИАТЫ ТОКСИЧНЫЕ КОРРОЗИОННЫЕ, Н.У.К.	3277	6.1	TC1	68	II	2
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ ТОКСИЧНОЕ , Н.У.К.	3278	6.1	T1	66	I	1
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ ТОКСИЧНОЕ , Н.У.К.	3278	6.1	T1	60	II	2
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ ТОКСИЧНОЕ , Н.У.К.	3278	6.1	T1	60	III	2
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.	3279	6.1	TF1	663	I	1
ФОСФОРОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ТОКСИЧНОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.	3279	6.1	TF1	63	II	2
МЫШЬЯКОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	3280	6.1	T3	66	I	1
МЫШЬЯКОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	3280	6.1	T3	60	II	2
МЫШЬЯКОРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К.	3280	6.1	T3	60	III	2
КАРБОНИЛЫ МЕТАЛЛОВ ЖИДКИЕ, Н.У.К.	3281	6.1	T3	66	I	1
КАРБОНИЛЫ МЕТАЛЛОВ ЖИДКИЕ, Н.У.К.	3281	6.1	T3	60	II	2
КАРБОНИЛЫ МЕТАЛЛОВ ЖИДКИЕ, Н.У.К.	3281	6.1	T3	60	III	2
МЕТАЛЛООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ ТОКСИЧНОЕ, Н.У.К.	3282	6.1	T3	66	I	1
МЕТАЛЛООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ ТОКСИЧНОЕ, Н.У.К.	3282	6.1	T3	60	II	2
МЕТАЛЛООРГАНИЧЕСКОЕ СОЕДИНЕНИЕ ЖИДКОЕ ТОКСИЧНОЕ, Н.У.К.	3282	6.1	T3	60	III	2
СЕЛЕНА СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К.	3283	6.1	T5	66	I	1
СЕЛЕНА СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К.	3283	6.1	T5	60	II	2
СЕЛЕНА СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К.	3283	6.1	T5	60	III	2
ТЕЛЛУРА СОЕДИНЕНИЕ, Н.У.К.	3284	6.1	T5	66	I	1
ТЕЛЛУРА СОЕДИНЕНИЕ, Н.У.К.	3284	6.1	T5	60	II	2
ТЕЛЛУРА СОЕДИНЕНИЕ, Н.У.К.	3284	6.1	T5	60	III	2
ВАНАДИЯ СОЕДИНЕНИЕ, Н.У.К.	3285	6.1	T5	66	I	1
ВАНАДИЯ СОЕДИНЕНИЕ, Н.У.К.	3285	6.1	T5	60	II	2
ВАНАДИЯ СОЕДИНЕНИЕ, Н.У.К.	3285	6.1	T5	60	III	2
ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЖИДКОСТЬ ТОКСИЧНАЯ КОРРОЗИОННАЯ, Н.У.К.	3286	3	FTC	368	I	1
ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЖИДКОСТЬ ТОКСИЧНАЯ КОРРОЗИОННАЯ, Н.У.К.	3286	3	FTC	368	II	2
ТОКСИЧНАЯ ЖИДКОСТЬ НЕОРГАНИЧЕСКАЯ, Н.У.К.	3287	6.1	T4	66	I	1
ТОКСИЧНАЯ ЖИДКОСТЬ НЕОРГАНИЧЕСКАЯ, Н.У.К.	3287	6.1	T4	60	II	2
ТОКСИЧНАЯ ЖИДКОСТЬ НЕОРГАНИЧЕСКАЯ, Н.У.К.	3287	6.1	T4	60	III	2
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.	3288	6.1	T5	66	I	1
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.	3288	6.1	T5	60	II	2
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.	3288	6.1	T5	60	III	2
ТОКСИЧНАЯ ЖИДКОСТЬ КОРРОЗИОННАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.	3289	6.1	TC3	668	I	1
ТОКСИЧНАЯ ЖИДКОСТЬ КОРРОЗИОННАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.	3289	6.1	TC3	68	II	2
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.	3290	6.1	TC4	668	I	1
ТОКСИЧНОЕ ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.	3290	6.1	TC4	68	II	2
КЛИНИЧЕСКИЕ ОТХОДЫ, РАЗНЫЕ, Н.У.К.	3291	6.2	I3	606	II	2
(БИО)МЕДИЦИНСКИЕ ОТХОДЫ, Н.У.К.	3291	6.2	I3	606	II	2
МЕДИЦИНСКИЕ ОТХОДЫ, ПОДПАДАЮЩИЕ ПОД ДЕЙСТВИЕ СООТВЕТСТВУЮЩИХ ПРАВИЛ, Н.У. К.	3291	6.2	I3	606	II	2
КЛИНИЧЕСКИЕ ОТХОДЫ, РАЗНЫЕ, Н.У.К., в охдажденном жидком изоте	3291	6.2	I3		II	2
(БИО)МЕДИЦИНСКИЕ ОТХОДЫ, Н.У.К., в охдажденном жидком изоте	3291	6.2	I3		II	2
МЕДИЦИНСКИЕ ОТХОДЫ, ПОДПАДАЮЩИЕ ПОД ДЕЙСТВИЕ СООТВЕТСТВУЮЩИХ ПРАВИЛ, Н.У. К., в охдажденном жидком изоте	3291	6.2	I3		II	2
НАТРИЙСОДЕРЖАЩИЕ БАТАРЕИ	3292	4.3	W3			2
НАТРИЙСОДЕРЖАЩИЕ ЭЛЕМЕНТЫ	3292	4.3	W3			2
ГИДРАЗИНА ВОДНЫЙ РАСТВОР с массовой долей гидразина не более 37%	3293	6.1	T4	60	III	2
ВОДОРОДА ЦИАНИСТОГО СПИРТОВОЙ РАСТВОР, содержащий не более 45% цианистого водорода	3294	6.1	TF1	663	I	0
УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К.	3295	3	F1	33	I	1
УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К. (давление паров при 50°С более 110 кПа)	3295	3	F1	33	II	2
УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К. (давление паров при 50°С не более 110 кПа)	3295	3	F1	33	II	2
УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К.	3295	3	F1	30	III	3
ГЕПТАФТОРПРОПАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 227)	3296	2	2A	20		3
ЭТИЛЕНА ОКСИДА И ХЛОРТЕТРАФТОРЭТАНА СМЕСЬ, содержащая не более 8,8% этилена оксида	3297	2	2A	20		3
ЭТИЛЕНА ОКСИДА И ПЕНТАФТОРЭТАНА СМЕСЬ, содержащая не более 7,9% этилена оксида	3298	2	2A	20		3
ЭТИЛЕНА ОКСИДА И ТЕТРАФТОРЭТАНА СМЕСЬ, содержащая не более 5,6% этилена оксида	3299	2	2A	20		3
ЭТИЛЕНА ОКСИДА И УГЛЕРОДА ДИОКСИДА СМЕСЬ, содержащая более 87% этилена оксида	3300	2	2TF	263		1
КОРРОЗИОННАЯ ЖИДКОСТЬ САМОНАГРЕВАЮЩАЯСЯ, Н.У.К.	3301	8	CS1	884	I	1
КОРРОЗИОННАЯ ЖИДКОСТЬ САМОНАГРЕВАЮЩАЯСЯ, Н.У.К.	3301	8	CS1	84	II	2
2-ДИМЕТИЛАМИНОЭТИЛАКРИЛАТ	3302	6.1	T1	60	II	2
ГАЗ СЖАТЫЙ ТОКСИЧНЫЙ ОКИСЛЯЮЩИЙ, Н.У.К.	3303	2	1TO	265		1
ГАЗ СЖАТЫЙ ТОКСИЧНЫЙ КОРРОЗИОННЫЙ, Н.У.К.	3304	2	1TC	268		1
ГАЗ СЖАТЫЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ, Н.У.К.	3305	2	1TFC	263		1
ГАЗ СЖАТЫЙ ТОКСИЧНЫЙ ОКИСЛЯЮЩИЙ КОРРОЗИОННЫЙ, Н.У.К.	3306	2	1TOC	265		1
ГАЗ СЖИЖЕННЫЙ ТОКСИЧНЫЙ ОКИСЛЯЮЩИЙ, Н.У.К.	3307	2	2TO	265		1
ГАЗ СЖИЖЕННЫЙ ТОКСИЧНЫЙ КОРРОЗИОННЫЙ, Н.У.К.	3308	2	2TC	268		1
ГАЗ СЖИЖЕННЫЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ, Н.У.К.	3309	2	2TFC	263		1
ГАЗ СЖИЖЕННЫЙ ТОКСИЧНЫЙ ОКИСЛЯЮЩИЙ КОРРОЗИОННЫЙ, Н.У.К.	3310	2	2TOC	265		1
ГАЗ ОХЛАЖДЕННЫЙ ЖИДКИЙ ОКИСЛЯЮЩИЙ, Н.У.К.	3311	2	3O	225		3
ГАЗ ОХЛАЖДЕННЫЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К.	3312	2	3F	223		2
ОРГАНИЧЕСКИЕ ПИГМЕНТЫ САМОНАГРЕВАЮЩИЕСЯ	3313	4.2	S2	40	II	2
ОРГАНИЧЕСКИЕ ПИГМЕНТЫ САМОНАГРЕВАЮЩИЕСЯ	3313	4.2	S2	40	III	3
ПЛАСТИЧНОЕ ФОРМОВОЧНОЕ СОЕДИНЕНИЕ в виде тестооб-разной массы, в форме листа или полученное путем экструзии жгута, выделяющее легковоспламеняющиеся пары	3314	9	M3	90	III	3
ОБРАЗЕЦ ХИМИЧЕСКИЙ ТОКСИЧНЫЙ	3315	6.1	T8		I	1
КОМПЛЕКТ ХИМИЧЕСКИХ ВЕЩЕСТВ	3316	9	M11		II	2
КОМПЛЕКТ ХИМИЧЕСКИХ ВЕЩЕСТВ	3316	9	M11		III	2
КОМПЛЕКТ ПЕРВОЙ ПОМОЩИ	3316	9	M11		II	3
КОМПЛЕКТ ПЕРВОЙ ПОМОЩИ	3316	9	M11		III	3
2-АМИНО-4,6-ДИНИТРОФЕНОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%	3317	4.1	D		I	1
АММИАКА РАСТВОР в воде с относительной плотностью менее 0,880 при температуре 15°С, содержащий более 50% аммиака	3318	2	4TC	268		1
НИТРОГЛИЦЕРИНА СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ ТВЕРДАЯ, Н.У.К., с массовой долей нитроглицерина более 2%, но не более 10%	3319	4.1	D		II	2
НАТРИЯ БОРГИДРИДА И НАТРИЯ ГИДРОКСИДА РАСТВОР с массовой долей боргидрида натрия не более 12% и массовой долей гидроксида натрия не более 40%	3320	8	C5	80	II	2
НАТРИЯ БОРГИДРИДА И НАТРИЯ ГИДРОКСИДА РАСТВОР с массовой долей боргидрида натрия не более 12% и массовой долей гидроксида натрия не более 40%	3320	8	C5	80	III	3
РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (НУА-II), неделящийся или делящийся-освобожденный	3321	7		70		0
Радиоактивный МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-III), неделящийся или делящийся-освобожденный	3322	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА С, неделящийся или делящийся-освобожденный	3323	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-II), ДЕЛЯЩИЙСЯ	3324	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-III), ДЕЛЯЩИЙСЯ	3325	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОБЪЕКТЫ С ПОВЕРХНОСТНЫМ РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ (SCO-I), ДЕЛЯЩИЙСЯ	3326	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОБЪЕКТЫ С ПОВЕРХНОСТНЫМ РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ (SCO-II), ДЕЛЯЩИЙСЯ	3326	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА А, ДЕЛЯЩИЙСЯ, не особого вида	3327	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА Б(И), ДЕЛЯЩИЙСЯ	3328	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА В(М), ДЕЛЯЩИЙСЯ	3329	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА С, ДЕЛЯЩИЙСЯ	3330	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ТРАНСПОРТИРУЕМЫЙ В СПЕЦИАЛЬНЫХ УСЛОВИЯХ, ДЕЛЯЩИЙСЯ	3331	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА А, ОСОБОГО ВИДА, неделящийся или делящийся-освобожденный	3332	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА А, ОСОБОГО ВИДА, ДЕЛЯЩИЙСЯ	3333	7		70		0
Жидкость, перевозка которой по воздуху регулируется правилами, Н.У.К.	3334	9	M11			
Твердое вещество, перевозка которого по воздуху регулируется правилами, Н.У.К	3335	9	M11			
МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	3336	3	F1	33	I	1
МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К. (давление паров при 50°С более 110 кПа)	3336	3	F1	33	II	2
МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К. (давление паров при 50°С не более 110 кПа)	3336	3	F1	33	II	2
МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	3336	3	F1	30	III	3
МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К.	3336	3	F1	33	I	1
МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К. (давление паров при 50° С более 110 кПа)	3336	3	F1	33	II	2
МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К. (давление паров при 50° С не более 110 кПа)	3336	3	F1	33	II	2
МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К.	3336	3	F1	30	III	3
ГАЗ РЕФРИЖЕРАТОРНЫЙ R 404A (Пентафторэтана, 1,1,1-трифторэтана и 1,1,1,2-тетрафторэтана зеотропная смесь с приблизительно 44% пентафторэтана и 52% 1,1,1-трифторэтана)	3337	2	2A	20		3
ГАЗ РЕФРИЖЕРАТОРНЫЙ R 407A (Дифторметана, пентафторэтана и 1,1,1,2-тетрафторэтана зеотропная смесь с приблизительно 20% дифторметана и 40% пентафторэтана)	3338	2	2A	20		3
ГАЗ РЕФРИЖЕРАТОРНЫЙ R 407В (Дифторметана, пентафторэтана и 1,1,1,2-тетрафторэтана зеотропная смесь с приблизительно 10% дифторметана и 70% пентафторэтана)	3339	2	2A	20		3
ГАЗ РЕФРИЖЕРАТОРНЫЙ R 407С (Дифторметана, пентафторэтана и 1,1,1,2-тетрафторэтана зеотропная смесь с приблизительно 23% дифторметана и 25% пентафторэтана)	3340	2	2A	20		3
ТИОМОЧЕВИНЫ ДИОКСИД	3341	4.2	S2	40	II	2
ТИОМОЧЕВИНЫ ДИОКСИД	3341	4.2	S2	40	III	3
КСАНТОГЕНАТЫ	3342	4.2	S2	40	II	2
КСАНТОГЕНАТЫ	3342	4.2	S2	40	III	3
НИТРОГЛИЦЕРИНА СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К., с массовой долей нитроглицерина не более 30%	3343	3	D			0
ПЕНТАЭРИТРИТТЕТРАНИТРАТА (ПЕНТАЭРИТРИТОЛТЕТРАНИТРАТА; ПЭТН) СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ ТВЕРДАЯ, Н.У.К., с массовой долей ПЭТН более 10%, но не более 20%	3344	4.1	D		II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ТВЕРДЫЙ ТОКСИЧНЫЙ	3345	6.1	T7	66	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ТВЕРДЫЙ ТОКСИЧНЫЙ	3345	6.1	T7	60	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ТВЕРДЫЙ ТОКСИЧНЫЙ	3345	6.1	T7	60	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	3346	3	FT2	336	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°С	3346	3	FT2	336	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°C	3347	6.1	TF2	663	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°C	3347	6.1	TF2	63	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°C	3347	6.1	TF2	63	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ТОКСИЧНЫЙ	3348	6.1	T6	66	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ТОКСИЧНЫЙ	3348	6.1	T6	60	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ФЕНОКСИУКСУСНОЙ КИСЛОТЫ ЖИДКИЙ ТОКСИЧНЫЙ	3348	6.1	T6	60	III	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	3349	6.1	T7	66	I	1
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	3349	6.1	T7	60	II	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ТВЕРДЫЙ ТОКСИЧНЫЙ	3349	6.1	T7	60	III	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°C	3350	3	FT2	336	I	1
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ТОКСИЧНЫЙ с температурой вспышки менее 23°C	3350	3	FT2	336	II	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕ-НЯЮЩИЙСЯ с температурой вспышки не менее 23°C	3351	6.1	TF2	663	I	1
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕ-НЯЮЩИЙСЯ с температурой вспышки не менее 23°C	3351	6.1	TF2	63	II	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°C	3351	6.1	TF2	63	III	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ТОКСИЧНЫЙ	3352	6.1	T6	66	I	1
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ТОКСИЧНЫЙ	3352	6.1	T6	60	II	2
ПЕСТИЦИД НА ОСНОВЕ ПИРЕТРОИДОВ ЖИДКИЙ ТОКСИЧНЫЙ	3352	6.1	T6	60	III	2
ГАЗ ИНСЕКТИЦИДНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К.	3354	2	2F	23		2
ГАЗ ИНСЕКТИЦИДНЫЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К.	3355	2	2TF	263		1
ГЕНЕРАТОР КИСЛОРОДА ХИМИЧЕСКИЙ	3356	5.1	O3			2
НИТРОГЛИЦЕРИНА СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ ЖИДКАЯ, Н.У.К., с массовой долей нитроглицерина не более 30%	3357	3	D		II	2
РЕФРИЖЕРАТОРНЫЕ УСТАНОВКИ, содержащие легковоспламеняющийся нетоксичный сжиженный газ	3358	2	6F			2
ФУМИГИРОВАННАЯ ГРУЗОВАЯ ТРАНСПОРТНАЯ ЕДИНИЦА	3359	9	M11			
Волокна растительного происхождения сухие	3360	4.1	F1			
ХЛОРСИЛАНЫ ТОКСИЧНЫЕ КОРРОЗИОННЫЕ, Н.У.К.	3361	6.1	TC1	68	II	2
ХЛОРСИЛАНЫ ТОКСИЧНЫЕ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	3362	6.1	TFC	638	II	2
Опасные грузы в оборудовании	3363	9	M11			
Опасные грузы в приборах	3363	9	M11			
ТРИНИТРОФЕНОЛ (КИСЛОТА ПИКРИНОВАЯ), УВЛАЖНЕННЫЙ, с массовой долей воды не менее 10%	3364	4.1	D		I	1
ТРИНИТРОХЛОРБЕНЗОЛ (ПИКРИЛХЛОРИД), УВЛАЖНЕННЫЙ, с массовой долей воды не менее 10%	3365	4.1	D		I	1
ТРИНИТРОТОЛУОЛ (ТНТ), УВЛАЖНЕННЫЙ, с массовой долей воды не менее 10%	3366	4.1	D		I	1
ТРИНИТРОБЕНЗОЛ, УВЛАЖНЕННЫЙ, с массовой долей воды не менее 10%	3367	4.1	D		I	1
КИСЛОТА ТРИНИТРОБЕНЗОЙНАЯ, УВЛАЖНЕННАЯ, с массовой долей воды не менее 10%	3368	4.1	D		I	1
НАТРИЯ ДИНИТРО-о-КРЕЗОЛЯТ, УВЛАЖНЕННЫЙ, с массовой долей воды не менее 10%	3369	4.1	DT		I	1
МОЧЕВИНЫ НИТРАТ, УВЛАЖНЕННЫЙ, с массовой долей воды не менее 10%	3370	4.1	D		I	1
2-МЕТИЛБУТАНАЛ	3371	3	F1	33	II	2
БИОЛОГИЧЕСКИЙ ПРЕПАРАТ, КАТЕГОРИЯ В	3373	6.2	I4	606		
БИОЛОГИЧЕСКИЙ ПРЕПАРАТ, КАТЕГОРИЯ В (только материал животного происхождения)	3373	6.2	I4	606		
